#            configname    selected           comp(a)    formation_energy    clex(formation_energy)    hull_dist(ALL,comp)    clex_hull_dist(ALL,comp)        comp_n(Na)
    SCEL1_1_1_1_0_0_0/0           1        0.83333333         -0.00570005                0.01025321             0.15124409                  0.13483053        3.00000000
    SCEL1_1_1_1_0_0_0/100         1        0.16666667         0.01729384                 -0.01372772            0.27640574                  0.23998504        7.00000000
    SCEL1_1_1_1_0_0_0/101         1        0.16666667         -0.06585140                -0.03283289            0.19326050                  0.22087987        7.00000000
    SCEL1_1_1_1_0_0_0/102         1        0.16666667         0.02941309                 0.00135887             0.28852499                  0.25507163        7.00000000
    SCEL1_1_1_1_0_0_0/103         1        0.16666667         -0.16380464                -0.20763268            0.09530726                  0.04608008        7.00000000
    SCEL1_1_1_1_0_0_0/104         1        0.33333333         0.13207016                 0.09328930             0.65029799                  0.60071482        6.00000000
    SCEL1_1_1_1_0_0_0/105         1        0.33333333         0.07135983                 0.10879430             0.58958766                  0.61621982        6.00000000
    SCEL1_1_1_1_0_0_0/106         1        0.33333333         -0.04029367                -0.05548450            0.47793416                  0.45194102        6.00000000
    SCEL1_1_1_1_0_0_0/107         1        0.33333333         0.19955619                 0.18633300             0.71778402                  0.69375852        6.00000000
    SCEL1_1_1_1_0_0_0/108         1        0.33333333         -0.05301531                -0.05403925            0.46521252                  0.45338627        6.00000000
    SCEL1_1_1_1_0_0_0/109         1        0.33333333         -0.14443139                -0.14894466            0.37379644                  0.35848086        6.00000000
    SCEL1_1_1_1_0_0_0/110         1        0.33333333         -0.09498152                -0.09996613            0.42324631                  0.40745939        6.00000000
    SCEL1_1_1_1_0_0_0/111         1        0.33333333         0.23260549                 0.21606217             0.75083332                  0.72348769        6.00000000
    SCEL1_1_1_1_0_0_0/112         1        0.33333333         -0.20545130                -0.18064737            0.31277653                  0.32677815        6.00000000
    SCEL1_1_1_1_0_0_0/114         1        0.33333333         0.13402116                 0.07347210             0.65224899                  0.58089762        6.00000000
    SCEL1_1_1_1_0_0_0/115         1        0.33333333         -0.29530877                -0.23287775            0.22291906                  0.27454777        6.00000000
    SCEL1_1_1_1_0_0_0/116         1        0.33333333         -0.11102636                -0.11897069            0.40720147                  0.38845483        6.00000000
    SCEL1_1_1_1_0_0_0/117         1        0.33333333         -0.12414409                -0.12509087            0.39408374                  0.38233465        6.00000000
    SCEL1_1_1_1_0_0_0/118         1        0.33333333         -0.07646809                -0.11030504            0.44175974                  0.39712048        6.00000000
    SCEL1_1_1_1_0_0_0/119         1        0.33333333         0.12638357                 0.19728452             0.64461140                  0.70471004        6.00000000
    SCEL1_1_1_1_0_0_0/120         1        0.33333333         -0.15124888                -0.13112342            0.36697895                  0.37630210        6.00000000
    SCEL1_1_1_1_0_0_0/121         1        0.33333333         -0.09966656                -0.18380181            0.41856127                  0.32362371        6.00000000
    SCEL1_1_1_1_0_0_0/122         1        0.33333333         0.29213168                 0.23147628             0.81035951                  0.73890180        6.00000000
    SCEL1_1_1_1_0_0_0/124         1        0.33333333         -0.19562577                -0.14142909            0.32260206                  0.36599643        6.00000000
    SCEL1_1_1_1_0_0_0/125         1        0.33333333         -0.12341195                -0.12457744            0.39481588                  0.38284808        6.00000000
    SCEL1_1_1_1_0_0_0/126         1        0.33333333         -0.16220440                -0.16101137            0.35602343                  0.34641415        6.00000000
    SCEL1_1_1_1_0_0_0/128         1        0.33333333         -0.34452451                -0.34703552            0.17370332                  0.16039000        6.00000000
    SCEL1_1_1_1_0_0_0/129         1        0.33333333         -0.19927371                -0.17040632            0.31895412                  0.33701920        6.00000000
    SCEL1_1_1_1_0_0_0/133         1        0.33333333         -0.51822783                -0.50742552            0.00000000                  0.00000000        6.00000000
    SCEL1_1_1_1_0_0_0/134         1        0.33333333         -0.24401617                -0.29213865            0.27421166                  0.21528686        6.00000000
    SCEL1_1_1_1_0_0_0/136         1        0.33333333         -0.28218294                -0.33678135            0.23604489                  0.17064417        6.00000000
    SCEL1_1_1_1_0_0_0/137         1        0.00000000         0.00000403                 0.00000000             0.00000000                  0.00000000        8.00000000
    SCEL1_1_1_1_0_0_0/138         1        0.66666667         -0.11414059                -0.16606832            0.19974346                  0.08612507        4.00000000
    SCEL1_1_1_1_0_0_0/139         1        0.50000000         -0.30541407                -0.28451042            0.16540990                  0.09529903        5.00000000
    SCEL1_1_1_1_0_0_0/140         1        0.50000000         -0.04244828                -0.09043701            0.42837569                  0.28937244        5.00000000
    SCEL1_1_1_1_0_0_0/142         1        0.50000000         0.00653599                 -0.01560081            0.47735996                  0.36420864        5.00000000
    SCEL1_1_1_1_0_0_0/143         1        0.50000000         -0.10724616                -0.08387500            0.36357781                  0.29593445        5.00000000
    SCEL1_1_1_1_0_0_0/144         1        0.50000000         -0.11342834                -0.14622432            0.35739563                  0.23358513        5.00000000
    SCEL1_1_1_1_0_0_0/145         1        0.50000000         -0.14046455                -0.14233812            0.33035942                  0.23747133        5.00000000
    SCEL1_1_1_1_0_0_0/146         1        0.50000000         -0.27291400                -0.04598180            0.19790997                  0.33382765        5.00000000
    SCEL1_1_1_1_0_0_0/148         1        0.50000000         -0.22790631                -0.22281549            0.24291766                  0.15699396        5.00000000
    SCEL1_1_1_1_0_0_0/150         1        0.50000000         0.11251091                 0.16521515             0.58333488                  0.54502460        5.00000000
    SCEL1_1_1_1_0_0_0/151         1        0.50000000         0.11080516                 0.11117418             0.58162913                  0.49098363        5.00000000
    SCEL1_1_1_1_0_0_0/156         1        0.50000000         -0.13060259                -0.02336804            0.34022138                  0.35644141        5.00000000
    SCEL1_1_1_1_0_0_0/158         1        0.50000000         -0.00906195                0.05703838             0.46176202                  0.43684783        5.00000000
    SCEL1_1_1_1_0_0_0/160         1        0.50000000         -0.03505326                -0.05827791            0.43577071                  0.32153154        5.00000000
    SCEL1_1_1_1_0_0_0/166         1        0.66666667         0.56950323                 0.50236154             0.88338728                  0.75455492        4.00000000
    SCEL1_1_1_1_0_0_0/168         1        0.66666667         0.33889635                 0.23748154             0.65278040                  0.48967493        4.00000000
    SCEL1_1_1_1_0_0_0/17          1        0.83333333         0.06751455                 0.07873264             0.22445869                  0.20330996        3.00000000
    SCEL1_1_1_1_0_0_0/171         1        0.66666667         0.20647869                 0.21623140             0.52036274                  0.46842478        4.00000000
    SCEL1_1_1_1_0_0_0/173         1        0.66666667         0.47950281                 0.48607650             0.79338686                  0.73826988        4.00000000
    SCEL1_1_1_1_0_0_0/175         1        0.66666667         0.27942758                 0.30950643             0.59331163                  0.56169981        4.00000000
    SCEL1_1_1_1_0_0_0/176         1        0.66666667         0.16263060                 0.11625485             0.47651465                  0.36844824        4.00000000
    SCEL1_1_1_1_0_0_0/184         1        0.66666667         0.25358693                 0.29480987             0.56747098                  0.54700325        4.00000000
    SCEL1_1_1_1_0_0_0/20          1        1.00000000         -0.00000422                0.00303875             0.00000000                  0.00000000        2.00000000
    SCEL1_1_1_1_0_0_0/25          1        0.50000000         0.35701556                 0.30455432             0.82783953                  0.68436377        5.00000000
    SCEL1_1_1_1_0_0_0/26          1        0.50000000         -0.15434800                -0.18191036            0.31647597                  0.19789909        5.00000000
    SCEL1_1_1_1_0_0_0/28          1        0.50000000         -0.07602660                -0.06523924            0.39479737                  0.31457021        5.00000000
    SCEL1_1_1_1_0_0_0/29          1        0.50000000         -0.07815038                -0.11872918            0.39267359                  0.26108027        5.00000000
    SCEL1_1_1_1_0_0_0/30          1        0.50000000         -0.15090074                -0.16002319            0.31992323                  0.21978626        5.00000000
    SCEL1_1_1_1_0_0_0/31          1        0.50000000         0.05799151                 0.05027438             0.52881548                  0.43008383        5.00000000
    SCEL1_1_1_1_0_0_0/32          1        0.50000000         -0.10133590                -0.13636432            0.36948807                  0.24344513        5.00000000
    SCEL1_1_1_1_0_0_0/33          1        0.50000000         -0.09508742                -0.11209579            0.37573655                  0.26771366        5.00000000
    SCEL1_1_1_1_0_0_0/34          1        0.50000000         -0.01027174                -0.00201594            0.46055223                  0.37779351        5.00000000
    SCEL1_1_1_1_0_0_0/35          1        0.50000000         0.07593514                 0.05375884             0.54675911                  0.43356829        5.00000000
    SCEL1_1_1_1_0_0_0/36          1        0.50000000         0.00331536                 0.00146852             0.47413933                  0.38127797        5.00000000
    SCEL1_1_1_1_0_0_0/38          1        0.50000000         -0.03543150                -0.05489547            0.43539247                  0.32491399        5.00000000
    SCEL1_1_1_1_0_0_0/39          1        0.50000000         -0.08333173                -0.10754492            0.38749224                  0.27226453        5.00000000
    SCEL1_1_1_1_0_0_0/40          1        0.50000000         -0.04785901                -0.06183033            0.42296496                  0.31797912        5.00000000
    SCEL1_1_1_1_0_0_0/41          1        0.50000000         -0.09771301                -0.10718579            0.37311096                  0.27262367        5.00000000
    SCEL1_1_1_1_0_0_0/42          1        0.50000000         -0.03252095                -0.02864801            0.43830302                  0.35116144        5.00000000
    SCEL1_1_1_1_0_0_0/43          1        0.50000000         0.06501013                 0.03715764             0.53583410                  0.41696709        5.00000000
    SCEL1_1_1_1_0_0_0/44          1        0.50000000         -0.00937604                0.02255200             0.46144793                  0.40236145        5.00000000
    SCEL1_1_1_1_0_0_0/45          1        0.50000000         -0.02550895                -0.04371120            0.44531502                  0.33609825        5.00000000
    SCEL1_1_1_1_0_0_0/46          1        0.50000000         -0.05563186                -0.04105059            0.41519211                  0.33875886        5.00000000
    SCEL1_1_1_1_0_0_0/47          1        0.50000000         -0.04908078                -0.06791421            0.42174319                  0.31189525        5.00000000
    SCEL1_1_1_1_0_0_0/48          1        0.50000000         -0.11013034                -0.12775322            0.36069363                  0.25205623        5.00000000
